fold,y_test,y_pred
1,1.0,0.5820528
1,0.0,0.1387852
1,0.0,0.38251755
1,1.0,0.111952156
1,0.0,0.34107536
1,0.0,0.03469799
1,0.0,0.24277662
1,0.0,0.25881034
1,0.0,0.084150575
1,1.0,0.15836942
1,0.0,0.09308101
1,0.0,0.27703288
1,0.0,0.04818347
1,0.0,0.11853876
1,1.0,0.27828383
1,0.0,0.10535941
1,0.0,0.30438054
1,0.0,0.29701787
1,0.0,0.06327229
1,1.0,0.49159232
1,0.0,0.17596723
1,1.0,0.6913307
1,0.0,0.17621961
1,0.0,0.49718484
1,0.0,0.3367799
1,0.0,0.07431654
1,0.0,0.26228863
1,0.0,0.025953336
1,0.0,0.035014432
1,0.0,0.04148912
1,0.0,0.119965754
1,0.0,0.12156267
1,0.0,0.09655777
1,1.0,0.6901748
1,0.0,0.08522649
1,1.0,0.79663265
1,0.0,0.084890276
1,0.0,0.14110133
1,0.0,0.16592257
1,0.0,0.09534351
1,0.0,0.45841432
1,0.0,0.16556199
1,1.0,0.6899485
1,0.0,0.24976651
1,0.0,0.19408867
1,0.0,0.19963661
1,0.0,0.06880595
1,0.0,0.05997949
1,1.0,0.5838848
1,0.0,0.09875739
1,0.0,0.14601894
1,0.0,0.024883475
1,0.0,0.19690923
1,0.0,0.092358455
1,1.0,0.74740815
1,0.0,0.09248263
1,1.0,0.5919164
1,0.0,0.1951491
1,0.0,0.25709903
1,0.0,0.06340159
1,1.0,0.5050154
1,0.0,0.15311334
1,1.0,0.48386484
1,1.0,0.09118732
1,0.0,0.33559936
1,1.0,0.733603
1,1.0,0.8144118
1,0.0,0.35131016
1,0.0,0.1866984
1,0.0,0.13272797
1,0.0,0.23742266
1,0.0,0.05012928
1,0.0,0.28955182
1,1.0,0.6901508
1,0.0,0.44013464
1,1.0,0.2233737
1,0.0,0.12177794
1,0.0,0.16876496
1,0.0,0.067915395
1,0.0,0.25981417
1,0.0,0.017300727
1,0.0,0.35705346
1,0.0,0.33415395
1,0.0,0.075588204
1,1.0,0.63632494
1,0.0,0.06825678
1,0.0,0.07480044
1,0.0,0.6167995
1,0.0,0.41289437
1,1.0,0.52675533
1,0.0,0.04354697
1,0.0,0.057848334
1,0.0,0.11911289
1,0.0,0.033484265
1,1.0,0.65920985
1,0.0,0.19460496
1,0.0,0.65542257
1,0.0,0.09276907
1,0.0,0.28292862
1,0.0,0.23895988
1,0.0,0.16839834
1,0.0,0.07289804
1,1.0,0.5928184
1,0.0,0.22113119
1,0.0,0.12822029
1,0.0,0.18733038
1,0.0,0.067499824
1,0.0,0.3671164
1,0.0,0.20630965
1,0.0,0.031566758
1,0.0,0.3227399
1,0.0,0.09432661
1,0.0,0.054705713
1,0.0,0.5082868
1,0.0,0.11755871
1,0.0,0.17440753
1,0.0,0.6948917
1,1.0,0.42446196
1,0.0,0.32234317
1,0.0,0.079773635
1,1.0,0.41917142
1,1.0,0.70220613
1,0.0,0.052274663
1,0.0,0.13616538
